,purple,blue,turquoise,black,brown,red,magenta,green,pink,yellow
magenta,0.06399556402125321,-0.1930397610400144,0.5021081782925854,-0.34945176899012875,0.5118533878384448,-0.08223092198702525,0.12127558003947883,0.1210352427367693,-0.31617749650061194,0.23626672937172444
blue,-0.12153531668909663,0.21993347538444555,0.5491471061263914,-0.12379815782345423,0.3020242395408085,0.08971215339998694,0.7578354394674724,0.2844751929085482,0.04704912171049923,-0.514351494808545
yellow,0.6955092950926254,-0.06703713939185094,0.13627051957570654,0.07670348805805105,0.31318943812200306,-0.2667442938201639,-0.017019563398735477,-0.3134588062693234,-0.0871793196726615,0.1933865380985162
turquoise,-0.2118763406764348,0.15098460076317846,-0.16387022774530552,0.15481309830456116,-0.12323192531854127,0.03411859224825252,0.33048057780596307,0.3869084906960757,0.6340833605868899,-0.34816623340856057
red,-0.14686326133954652,-0.10483141754697285,0.08256411585381493,0.618844638620698,-0.20642049171448898,0.840157571114739,0.2544033560792929,-0.1795396497745373,-0.5352822281094758,-0.12182863693936827
purple,0.10822225332142492,0.16199046384279997,-0.20266155851909226,-0.062401902811813084,-0.1873455378864917,-0.11438034703688799,0.5125400729607367,0.2401469185990662,-0.0006775440240592012,-0.2694300355441567
brown,0.11547342933362356,-0.12299268235111574,0.8933319869458518,-0.04905202573295098,0.6476999674454391,0.1897352462100611,0.3482504318009032,-0.07464742431396597,-0.34607642910322195,-0.1491308699749369
black,0.11186257604008273,-0.2798527199835189,0.5289427411047607,-0.2268242558473783,0.3111581674979047,0.09738813872666478,0.5298208694243848,0.43623729309571324,-0.28661268076586804,-0.0844420645235475
green,-0.32429045737113377,-0.14002400307105506,0.5283433271522612,0.4834904574188456,0.4074169577708222,0.600620891326325,0.17189924290176575,-0.038861619811580844,0.14503649109050298,-0.23563479782624017
pink,-0.3251858268890354,-0.34303784971721707,-0.12462628703789544,-0.3529772694851308,-0.03132137553887004,-0.11178615885634413,-0.15658564513118728,0.3672155833721576,-0.18132314864821114,0.13548056589330315
