,purple,blue,turquoise,black,brown,red,magenta,green,pink,yellow
magenta,0.8605816170485788,0.5931125977224992,0.139175944809827,0.32228247157925755,0.13043296943139052,0.8213312671790728,0.7385771851326118,0.7390801098026833,0.37345508581908815,0.5110637332904057
blue,0.7380337661667876,0.5414992853561778,0.10015623114997811,0.7333039098425499,0.39636132765105814,0.8053264875568542,0.011099567635211867,0.4256718747501935,0.8973075694790792,0.1282478394560711
yellow,0.025533671532311952,0.8540134962863852,0.707382297178562,0.8331948132839609,0.378235590726537,0.4562721484658902,0.9627804875245081,0.3778034099618963,0.8107380414778387,0.592435846678397
turquoise,0.5567724059227785,0.6771479138234976,0.6510058254639306,0.6693468399081937,0.7344867141594923,0.9254523991046214,0.35099038723568865,0.2693622286078791,0.04897036776351784,0.3241879700534409
red,0.6855766739327894,0.773184827499934,0.8206171505433634,0.05644677737887662,0.5672083427028,0.0023437757099537665,0.4781332966282643,0.6196739128653281,0.11082965861691627,0.7374202094588331
purple,0.7660170584251719,0.6547989484112768,0.5744415263958099,0.8640261437089475,0.6042652041208181,0.7530407996589076,0.12983004242947724,0.5039402819039812,0.9985178731277646,0.451574969196317
brown,0.7507431838674857,0.7349866205868969,0.0004970634761149686,0.8929564990064213,0.04287507978357109,0.599575613125555,0.32406298752862955,0.8376156188988464,0.3272980461459297,0.6809351429938412
black,0.7583396753642138,0.43355552347001447,0.11593826019604535,0.5285715419114801,0.3815024151562336,0.7889725087531971,0.11522201782668187,0.20753525415388266,0.42204912177869025,0.816594476139137
green,0.36062722628183047,0.699632761085506,0.1164287646700008,0.15685391557489164,0.24255765354705974,0.0663325775536579,0.6348862208188821,0.9151184743279336,0.6893227673195171,0.5122278207499207
pink,0.3592251969626101,0.3318475121639909,0.7315749391000403,0.31708676705667316,0.9315516671251773,0.7585006450941653,0.6657446099578851,0.2965539228756718,0.6161412777163652,0.7090163675775085
