Genes,LEP2017057F,LEP2017069F,SEP2017086F,SEP2017092S,SEP2017096F,SEP2017110S,SEP2017117F,SEP2017118F,SEP2017119F,SEP2017120F,SEP2017124F,SEP2017125F,SEP2018001S,SEP2018003F,SEP2018005F,SEP2018006F,SEP2018007F,SEP2018008F,SEP2018009F,SEP2018012F,SEP2018013F,SEP2018015F,SEP2018019F,SEP2018022F,SEP2018023S,SEP2018025F,SEP2018026F,SEP2018027F,SEP2018028S,SEP2018029F,SEP2018032F,SEP2018033F,SEP2018035S,SEP2018037F,SEP2018038F,LEP2016002F,LEP2016003F,LEP2016005S,LEP2016038S,LEP2016042S,LEP2016052F,LEP2016054S,LEP2016059S,SEP2015004S,SEP2015010F,SEP2015011F,SEP2015016S,SEP2015018S,SEP2015021F,SEP2015023F,SEP2015025S,SEP2015027S,SEP2015029S,SEP2016001S,SEP2016003F,SEP2016004S,SEP2016006F,SEP2016007F,SEP2016008S,SEP2016009F,SEP2016013S,SEP2017109S,SEP2017123S,SEP2018014S,SEP2018020S,SEP2018021S,SEP2018024S,SEP2018034S,LEP2016001S,LEP2016040S,SEP2015003S,SEP2015006S,SEP2015009S,SEP2015012S,SEP2015013S,SEP2015028S,SEP2016005S,SEP2016010S,SEP2016011S,SEP2016012S
44986,2.838547161,2.838547161,2.841736042,2.952252431,2.673135066,2.914553078,2.7942303,2.848066007,2.839665384,2.730750438,2.859080309,2.800399946,2.804333457,2.767447476,2.774973936,2.776345817,2.748818241,3.035531124,2.949801596,2.86365097,2.859909717,2.951240461,2.721533552,2.564579236,2.769862145,2.786945177,2.899986175,2.924327459,2.874143957,3.009599116,2.541343144,2.893930283,2.817039858,2.806867526,2.895185716,2.888384015,2.845955119,2.86244182,2.651143961,2.577422489,2.954983069,2.926636634,2.854769517,2.970617882,2.614328655,2.767412036,2.956220423,2.824990852,2.968844367,2.716814785,2.784988235,2.907869485,2.809707842,2.829126488,2.899237635,2.848165999,2.915836884,2.798106461,2.757813769,2.8834061,2.731807171,2.726356857,2.814241385,2.712530777,2.851325741,2.784067144,2.868091297,2.954699102,2.858753373,2.848770727,2.816910889,2.89445066,2.863265452,2.881339999,2.7206984,2.763736856,2.778901768,2.946269587,2.841889403,2.90701391
44988,2.189162235,2.189162235,2.23825474,2.158656826,2.2795489,2.065161163,2.102865114,2.248492595,2.076845495,2.281056652,2.141859928,2.255279751,2.199941858,2.011429846,2.35655467,2.001663265,2.267547939,2.097094554,2.183032826,2.111235703,2.2036129,2.141105129,2.114055228,2.242283688,2.160480642,2.270768315,2.213273018,2.220367146,2.119358612,2.074870875,2.185402224,2.243516659,2.015089276,2.401914516,2.062162252,2.139449195,2.11535331,2.216285532,2.068821361,2.231748409,2.182334225,2.080104825,2.155000615,2.098185471,2.253850673,2.12556402,2.078167212,2.109190352,2.243742341,2.196407474,2.306390166,2.189752833,2.133343776,2.146729294,2.087720956,2.211435052,2.238395965,2.162409381,2.060558996,2.294619068,2.12902178,2.254956675,2.150567651,2.190743806,2.164761261,2.208322411,2.090174113,2.10502137,2.246607258,2.292673926,2.198839636,2.098420634,2.17164134,2.171216666,2.04679646,2.139008535,2.207824935,2.164898263,2.152526503,2.117354673
44989,2.088628986,2.088628986,2.153590299,2.172059425,2.126129494,2.279685849,2.06794641,2.220206497,2.068980628,2.036297011,2.186499313,2.195505645,2.188441698,2.023237349,2.278919159,1.986200095,2.171140486,2.027402526,2.115288361,2.097122484,2.141988585,2.075968632,2.105050664,2.272319118,2.143466649,2.072686129,2.183324528,2.1289598,2.010213303,2.222245184,2.235699682,2.144430624,2.151831886,2.052018997,2.162851152,2.045534709,2.096595598,2.168389778,2.210220684,2.15683618,2.130933215,2.124993326,2.122231876,2.120126681,2.278391248,2.136358078,2.195395045,2.12362952,2.089468181,2.092050675,2.074012406,2.13493915,2.153361242,2.132490663,2.151576369,2.127179209,2.127374128,2.062365898,2.221630878,2.169300432,2.039993544,2.157176909,2.164557544,2.185441756,2.088529329,2.145443988,2.116668223,2.082657016,2.204578626,2.110088701,2.124023965,2.073340937,2.102316711,2.096119786,2.241171492,2.156351422,2.235716106,2.029385608,2.141389234,2.10858092
44990,2.485706274,2.485706274,2.451381998,2.403286366,2.626095859,2.638163029,2.353815351,2.451081071,2.42944791,2.469251404,2.52290521,2.512962014,2.432957431,2.490764731,2.402391123,2.501711909,2.456884138,2.566567635,2.497796707,2.355244488,2.494196597,2.679451698,2.376425144,2.468189533,2.390457445,2.384191123,2.557681342,2.472748537,2.234190426,2.588612835,2.416830074,2.622134448,2.390247766,2.549188596,2.320953375,2.513239188,2.460509163,2.362122424,2.293459766,2.37047012,2.381994247,2.616925838,2.457842224,2.566681486,2.407525845,2.366539197,2.45092405,2.351069467,2.513095238,2.424909278,2.608902782,2.442030114,2.450148212,2.554592615,2.494390796,2.370001286,2.573548566,2.447797877,2.320760586,2.303411152,2.424566487,2.33198566,2.503480467,2.416494724,2.491320152,2.661238806,2.458772144,2.486165887,2.498815532,2.510501304,2.462130512,2.520449136,2.395412963,2.512926109,2.405405324,2.434856215,2.449419009,2.396060269,2.43060673,2.45181286
44991,3.140935891,3.140935891,3.162703567,3.070611985,3.139724971,3.174893957,2.979269001,3.042062216,3.036269679,3.097973852,3.149509388,3.028711933,3.125751256,3.092408109,3.217628343,3.199073598,3.119740076,3.140003943,3.254457112,3.140668357,3.210211604,3.068057617,3.022588199,3.223362021,3.047408279,3.29035161,3.020841488,3.057796923,3.11997875,3.207756608,3.076489287,3.043325173,3.146347419,3.254583785,3.079374309,3.121560727,2.992708407,2.914940464,3.059799301,3.168114262,3.00334126,3.099294867,3.117057804,3.119587556,3.238448713,3.068839138,2.899292171,3.080802876,3.072913413,3.1911858,3.121655949,2.971559918,3.153219576,3.03762204,3.030292735,3.013132908,3.07906096,3.114047148,3.321847708,2.934877384,2.978383902,3.236364957,3.15656284,3.232478963,2.985856704,3.052403708,3.122954875,3.044497818,3.081464061,3.15331956,3.130874228,3.173010475,2.932184897,2.973698564,3.227596606,3.1980174,3.040458775,3.204373607,2.899950833,2.997149519
44992,3.054195459,3.054195459,3.155554926,3.028798605,2.898292488,3.076644608,2.936492065,3.008119462,3.093335266,3.108222893,3.040925075,3.016718492,3.027334039,3.039110345,2.974700268,3.034377019,3.04164758,3.03473281,3.058799483,3.06762952,3.014101592,2.971433942,3.139296645,2.977165437,2.983660883,2.970553862,3.0978211,2.995146059,2.945551618,2.978289442,2.952359794,3.040787706,3.012327739,2.978465267,3.052852266,3.09704258,2.979844392,2.835797345,2.931907284,2.986382595,3.001436142,3.019019431,3.011674008,2.994800443,3.01166942,3.02526911,3.000542136,2.978542469,3.052387395,3.013454593,2.989565461,3.046892646,2.937311597,2.958882739,3.070431363,3.046892646,3.168674873,2.96238929,3.016352481,3.007427062,2.853715334,3.079212856,3.050708312,2.96896689,2.95405408,3.010493669,3.115043989,3.069912195,2.962308948,3.09067742,3.00350318,2.929038077,3.028695839,3.041514399,3.009413344,2.94004216,2.971882293,2.818951535,2.892727936,3.085821381
44993,2.710892037,2.710892037,2.644997467,2.218469882,2.367332772,2.550250854,2.765567964,2.754657669,2.765426951,2.944144273,2.786988475,2.604067902,2.799216621,2.651566552,2.734345823,2.667903809,2.623393617,2.431789392,2.564176997,2.6648,3.146180408,2.464642392,2.714143743,2.719263579,2.913947497,2.841935512,2.6570601,2.713051927,2.698231655,2.71375816,2.777666615,2.625212443,3.012268484,2.460414813,2.519001126,2.767195538,2.643799118,2.661108582,2.747183376,3.178270978,2.344620543,2.429951184,2.717945807,2.745471683,2.75457742,2.697528401,2.699562692,2.685171617,2.711328974,2.652602919,2.751290237,2.689410445,2.744275183,2.697212539,2.716698378,2.655878305,2.637967164,2.741084199,2.592639847,2.559261552,2.626760357,3.10060312,2.634247367,2.52498465,2.636393252,2.471073521,2.56248923,2.700660101,2.66322446,2.734551746,2.636142929,2.673945264,2.736854573,2.698678515,2.731780959,2.70635648,2.744003411,3.033018138,2.677837795,2.613244177
44994,2.264059174,2.264059174,2.27632282,2.183672696,2.220636428,2.357744145,2.373171868,2.320681434,2.240775254,2.315031302,2.302873138,2.1720445,2.33567458,2.125754744,2.131200111,2.244627835,2.345313231,2.285524194,2.142721288,2.00358674,2.189252404,2.170645526,2.253715998,2.37362358,2.200927394,2.25926149,2.177460892,2.382080733,2.141969744,2.265444929,2.156577601,2.372235592,2.372180399,2.172926014,2.18302441,2.287267788,2.229720481,2.207972648,2.325890331,2.285671193,2.365454746,2.061295374,2.250011294,2.134683963,2.27462363,2.283748929,2.254969323,2.201791993,2.191544677,2.26839969,2.283977947,2.192561651,2.129106796,2.213241179,2.296115631,2.147865335,2.256236861,2.22136184,2.147196461,2.254442526,2.176069319,2.313071926,2.104019901,2.528770388,2.221878501,2.177072172,2.215205533,2.208496857,2.31827767,2.24949052,2.233492863,2.320041077,2.281743657,2.154540361,2.237176161,2.415051303,2.155018707,2.254862447,2.063938534,2.245330019
44995,2.114114822,2.114114822,2.163240661,2.274970776,2.334538226,2.117614139,2.239670313,2.105767335,2.141192024,2.122986585,2.129698191,2.229700494,2.134050795,2.174932684,2.032080402,2.167781383,2.079606597,2.162476175,2.115771875,2.185217165,2.10628824,2.218046302,2.050428981,2.142119037,2.139330007,2.170851216,2.110227861,2.237847938,2.152305649,2.142093482,2.121180144,2.161148867,2.147332427,2.214059425,2.060802656,2.1189783,2.06843112,2.053322021,2.055685083,2.164697878,2.141889907,2.120247756,2.127002934,2.159962215,2.171496478,2.042014685,2.050288008,2.295156895,2.092936479,2.200033203,2.045014251,2.199281434,2.098648582,2.168617173,2.162948124,2.231793675,2.097596184,2.228494297,2.115168465,2.091654575,2.145250898,2.084251859,2.126811269,2.023136302,2.184629004,2.148106183,2.111541258,2.168357166,2.198451719,2.153516527,2.066211711,2.080717619,2.258499562,2.196091736,2.159001834,2.082368966,2.083136721,2.255105713,2.188317084,2.122247817
44996,2.202464561,2.202464561,2.25754596,2.218364038,2.374283205,2.103260114,2.301715295,2.133123178,2.078634856,2.189700146,2.231478214,2.249658018,2.165360192,2.243440857,2.235768963,2.212965547,2.102603859,2.227607422,2.224759664,2.218724985,2.048891133,2.230054416,2.092166586,2.251286497,2.333237626,2.076647741,2.213323507,2.071296127,2.162145664,2.210952066,2.27238573,2.333081684,1.987140466,2.247184459,2.270323402,2.145689598,2.205900769,2.172935621,2.206100526,2.271316927,2.154845368,2.135468006,2.197603999,2.211746099,2.239969026,2.110545877,2.12135918,2.122078697,2.30273407,2.213024828,2.227799248,1.999855123,2.179485024,1.965195032,2.241586994,2.340908997,2.286613838,2.202395307,2.14300337,2.199761901,2.141721566,2.172514584,2.063525871,2.215179181,2.192968254,2.244793784,2.216387796,1.995897488,2.295549094,2.20113985,2.153521811,2.233323778,2.23430928,2.114468861,2.130562263,2.190656091,2.281255575,2.455203767,2.088981231,2.202369261
